job_id,timestamp,register,num_bits,total_shots,unique_states,coherence,entanglement,interference,bit_balances,entropy,timestamp_dt,time_minutes,phase
job-d39hs1g0sqis739anl3g,20250923_222406,c_middle,5,8192,32,0.0384521484375,0.99816957599638,0.9864501953125,"[0.94384765625, 0.929931640625, 0.970947265625, 0.98779296875, 0.998291015625]",4.9908478799819,2025-09-23 22:24:06,33.983333333333334,Phase 2
job-d39hs1g0sqis739anl3g,20250923_222406,c_outer,5,8192,32,0.052001953125,0.9891070730283411,0.963134765625,"[0.8720703125, 0.990478515625, 0.9599609375, 0.944091796875, 0.894287109375]",4.945535365141706,2025-09-23 22:24:06,33.983333333333334,Phase 2
job-d39hsvkgenls73cfvmpg,20250923_222606,c_central,1,8192,2,0.5279541015625,0.9977440883657553,0.944091796875,[0.944091796875],0.9977440883657553,2025-09-23 22:26:06,35.983333333333334,Return
job-d39hsvkgenls73cfvmpg,20250923_222606,c_inner,5,8192,32,0.048095703125,0.9873341551879568,0.96728515625,"[0.959228515625, 0.7939453125, 0.90771484375, 0.83935546875, 0.961181640625]",4.936670775939784,2025-09-23 22:26:06,35.983333333333334,Return
job-d39hsvkgenls73cfvmpg,20250923_222606,c_middle,5,8192,32,0.0428466796875,0.9971346250811666,0.98046875,"[0.919921875, 0.910888671875, 0.948974609375, 0.9873046875, 0.984130859375]",4.985673125405833,2025-09-23 22:26:06,35.983333333333334,Return
job-d39hsvkgenls73cfvmpg,20250923_222606,c_outer,5,8192,32,0.05517578125,0.9833135242691359,0.958251953125,"[0.91162109375, 0.988037109375, 0.976806640625, 0.996337890625, 0.728271484375]",4.9165676213456795,2025-09-23 22:26:06,35.983333333333334,Return
job-d39httg0sqis739anmq0,20250923_222806,c_outer,5,8192,32,0.050537109375,0.9897898736581107,0.9652099609375,"[0.906982421875, 0.9658203125, 0.965576171875, 0.97265625, 0.87109375]",4.948949368290553,2025-09-23 22:28:06,37.983333333333334,Return
job-d39httg0sqis739anmq0,20250923_222806,c_middle,5,8192,32,0.040283203125,0.9979791127176393,0.985595703125,"[0.957763671875, 0.9345703125, 0.95703125, 0.973388671875, 0.991455078125]",4.989895563588196,2025-09-23 22:28:06,37.983333333333334,Return
job-d39httg0sqis739anmq0,20250923_222806,c_central,1,8192,2,0.546142578125,0.9938478578016199,0.90771484375,[0.90771484375],0.9938478578016199,2025-09-23 22:28:06,37.983333333333334,Return
job-d39httg0sqis739anmq0,20250923_222806,c_inner,5,8192,32,0.0452880859375,0.9901034779789001,0.970703125,"[0.9501953125, 0.78466796875, 0.89453125, 0.942626953125, 0.9609375]",4.9505173898945,2025-09-23 22:28:06,37.983333333333334,Return
job-d39hurkgenls73cfvoh0,20250923_223006,c_central,1,8192,2,0.5340576171875,0.9966505817674995,0.931884765625,[0.931884765625],0.9966505817674995,2025-09-23 22:30:06,39.983333333333334,Post Meditation
job-d39hurkgenls73cfvoh0,20250923_223006,c_inner,5,8192,32,0.050048828125,0.9887623330643918,0.966796875,"[0.944091796875, 0.801025390625, 0.923828125, 0.84521484375, 0.970947265625]",4.943811665321959,2025-09-23 22:30:06,39.983333333333334,Post Meditation
job-d39hurkgenls73cfvoh0,20250923_223006,c_middle,5,8192,32,0.0399169921875,0.9972320273551973,0.9825439453125,"[0.930908203125, 0.926025390625, 0.9443359375, 0.9833984375, 0.972900390625]",4.986160136775987,2025-09-23 22:30:06,39.983333333333334,Post Meditation
job-d39hurkgenls73cfvoh0,20250923_223006,c_outer,5,8192,32,0.046875,0.9899814101559059,0.968994140625,"[0.896484375, 0.978759765625, 0.945068359375, 0.98388671875, 0.905517578125]",4.9499070507795295,2025-09-23 22:30:06,39.983333333333334,Post Meditation
job-d39hvpg0sqis739anokg,20250923_223206,c_central,1,8192,2,0.5406494140625,0.9952269879531856,0.918701171875,[0.918701171875],0.9952269879531856,2025-09-23 22:32:06,41.983333333333334,Post Meditation
job-d39hvpg0sqis739anokg,20250923_223206,c_inner,5,8192,32,0.0455322265625,0.9901582966804297,0.9727783203125,"[0.96484375, 0.806640625, 0.88037109375, 0.909912109375, 0.958984375]",4.950791483402148,2025-09-23 22:32:06,41.983333333333334,Post Meditation
job-d39hvpg0sqis739anokg,20250923_223206,c_middle,5,8192,32,0.038818359375,0.997848663911204,0.98583984375,"[0.94384765625, 0.92626953125, 0.9697265625, 0.974609375, 0.968994140625]",4.98924331955602,2025-09-23 22:32:06,41.983333333333334,Post Meditation
job-d39hvpg0sqis739anokg,20250923_223206,c_outer,5,8192,32,0.0472412109375,0.9911540347642074,0.970703125,"[0.893310546875, 0.98388671875, 0.969482421875, 0.997802734375, 0.895751953125]",4.955770173821037,2025-09-23 22:32:06,41.983333333333334,Post Meditation
job-d39i0no0sqis739anpg0,20250923_223409,c_central,1,8192,2,0.5450439453125,0.9941377229570609,0.909912109375,[0.909912109375],0.9941377229570609,2025-09-23 22:34:09,44.03333333333333,Post Meditation
job-d39i0no0sqis739anpg0,20250923_223409,c_inner,5,8192,32,0.04736328125,0.9894765246298063,0.968505859375,"[0.96826171875, 0.783447265625, 0.9130859375, 0.9033203125, 0.959228515625]",4.947382623149031,2025-09-23 22:34:09,44.03333333333333,Post Meditation
job-d39i0no0sqis739anpg0,20250923_223409,c_middle,5,8192,32,0.03857421875,0.9981664349676496,0.9833984375,"[0.951904296875, 0.94189453125, 0.9609375, 0.987548828125, 0.9619140625]",4.990832174838248,2025-09-23 22:34:09,44.03333333333333,Post Meditation
job-d39i0no0sqis739anpg0,20250923_223409,c_outer,5,8192,32,0.046630859375,0.9912720330794494,0.9703369140625,"[0.878662109375, 0.98681640625, 0.959228515625, 0.973388671875, 0.91015625]",4.956360165397247,2025-09-23 22:34:09,44.03333333333333,Post Meditation
job-d39i1lkgenls73cfvr7g,20250923_223606,c_outer,5,8192,32,0.0452880859375,0.9904789393369853,0.96923828125,"[0.923095703125, 0.96728515625, 0.931396484375, 0.9677734375, 0.9072265625]",4.952394696684927,2025-09-23 22:36:06,45.983333333333334,Post Meditation
job-d39i1lkgenls73cfvr7g,20250923_223606,c_middle,5,8192,32,0.0382080078125,0.9979597777154213,0.9854736328125,"[0.959716796875, 0.9296875, 0.947265625, 0.981689453125, 0.971435546875]",4.9897988885771065,2025-09-23 22:36:06,45.983333333333334,Post Meditation
job-d39i1lkgenls73cfvr7g,20250923_223606,c_inner,5,8192,32,0.0496826171875,0.9882826139857741,0.9664306640625,"[0.9453125, 0.810302734375, 0.883544921875, 0.854736328125, 0.959228515625]",4.9414130699288705,2025-09-23 22:36:06,45.983333333333334,Post Meditation
job-d39i1lkgenls73cfvr7g,20250923_223606,c_central,1,8192,2,0.541748046875,0.994965195653633,0.91650390625,[0.91650390625],0.994965195653633,2025-09-23 22:36:06,45.983333333333334,Post Meditation
